name,code,joshi
kàsim,,0
mapoyo,mcg,0
yamdena,jmd,0
rikbaktsa,rkb,0
belorussian,,0
rengao,ren,0
kodava,kfa,0
achumawi,acv,0
türk isaret dili,,0
shompen,,0
nancowry,,0
urak lawoi',urk,0
izhor,,0
potawatomi,pot,0
loko,lok,0
mirniny,,0
muna,mnb,0
isekiri,its,0
mochica,omc,0
kangiryuarmiut,,0
ngarluma,nrl,0
berbice dutch creole,,0
jingpho,,0
banggi,,0
matuumbi,,0
sikkimese,sip,0
naskapi,nsk,0
muinane,bmr,0
bété,,0
bini,bin,0
pintupi,,0
gahuku,,0
ngäbere,gym,0
yelmek,jel,0
remo,rem,0
chuukese,chk,0
biafada,bif,0
ma'anyan,mhy,0
lusi,khl,0
buriat,bua,0
muruwari,zmu,0
sarcee,,0
inga,inb,0
yir yiront,,0
miisiirii,,0
bokar,,0
kachari,xac,0
ndut,ndv,0
watam,wax,0
nanai,gld,0
pame,,0
isirawa,srl,0
kharia,khr,0
lardil,lbz,0
gadaba,,0
zapotec,zap,0
majang,mpe,0
warrongo,,0
musom,msu,0
língua de sinais brasileira,,0
lisu,lis,0
chipewyan,chp,0
sora,srb,0
laragia,lrg,0
kombio,xbi,0
yay,,0
lamé,,0
micmac,,0
evenki,evn,0
wantoat,wnc,0
guaque,,0
obolo,ann,0
guayabero,guo,0
ticuna,tca,0
gela,nlg,0
xokleng,xok,0
ghulfan,ghl,0
masakin,,0
nicobarese,,0
bardi,bcj,0
kusunda,kgg,0
aka-cari,aci,0
kabatei,xkp,0
rama,rma,0
alagwa,wbj,0
tem,kdh,0
baga sitemu,bsp,0
vagla,vag,0
mattole,mvb,0
rotuman,rtm,0
tübatulabal,tub,0
mundani,mnf,0
língua gestual portuguesa,,0
mbole,mdq,0
guajajara,,0
au,avt,0
onondaga,ono,0
kom,,0
canela-krahô,,0
gumbaynggir,,0
ternate,tft,0
hemba,hem,0
gbeya bossangoa,,0
dyirbal,dbl,0
hiri motu,hmo,0
suki,sui,0
seychelles creole,,0
allentiac,,0
waurá,wau,0
mamanwa,mmn,0
keresan,,0
yagua,yad,0
grebo,grb,0
laz,lzz,0
kemtuik,kmt,0
guere,,0
chumash,,0
lotha,,0
koryak,kpy,0
nuuchahnulth,,0
xavánte,xav,0
mehri,gdq,0
gayo,gay,0
gugada,,0
nyawaygi,nyt,0
achí,,0
cubeo,cub,0
bujeba,,0
yazgulyam,yah,0
mian,mpt,0
cua,cua,0
begak-ida'an,,0
pengo,peg,0
gyarong,,0
sikaritai,tty,0
mosetén,,0
kuuk thaayorre,,0
ewondo,ewo,0
aghul,agx,0
malakmalak,,0
carib,,0
mankanya,knf,0
yankuntjatjara,,0
chiquitano,cax,0
emai,,0
yamba,yam,0
kutchin,,0
great andamanese,,0
waropen,wrp,0
yaminahua,yaa,0
wan,wan,0
nyungar,,0
skou,skv,0
shawnee,sjw,0
koyraboro senni,,0
tabassaran,tab,0
cahuilla,chl,0
tamagario,tcg,0
talinga,,0
tati,,0
archi,aqc,0
luangiua,,0
chippewa,ciw,0
temne,,0
tapieté,tpj,0
palor,fap,0
khmu',,0
pisa,,0
páez,pbb,0
udi,udi,0
emberá,,0
bongu,bpu,0
alutor,alr,0
jemez,tow,0
umbu ungu,,0
bao'an,,0
apatani,apt,0
apalaí,apy,0
krahô,xra,0
tanna,,0
ajagbe,,0
biri,bzr,0
kohumono,bcs,0
poqomam,poc,0
madimadi,,0
tzeltal,tzh,0
ekari,ekg,0
tetela,tll,0
massachusett,,0
jurchen,juc,0
port sandwich,psw,0
japreria,,0
guana,,0
new zealand sign language,nzs,0
baka,,0
sika,ski,0
nguna,,0
barí,mot,0
qafar,,0
mansi,mns,0
buduma,bdm,0
galo,adl,0
domari,rmt,0
ormuri,oru,0
amis,ami,0
tolai,,0
watjarri,,0
bafut,bfd,0
oloh mangtangai,,0
palaung,,0
eyak,eya,0
sinaugoro,snc,0
camling,rab,0
tera,ttr,0
yawuru,ywr,0
maung,mph,0
chaudangsi,cdn,0
guduf,,0
meithei,,0
cacua,cbv,0
tennet,tex,0
spokane,spo,0
tuscarora,tus,0
iraqw,irk,0
aguacatec,,0
pitjantjatjara,pjt,0
asuriní,,0
tausug,tsg,0
rejang,rej,0
bathari,bhm,0
thulung,tdh,0
lobi,lob,0
nivacle,,0
tuki,bag,0
gbaya kara,,0
maranao,mrw,0
hong kong sign language,hks,0
patpatar,gfk,0
gojri,,0
rawang,raw,0
zimakani,zik,0
lengua de señas argentina,,0
júma,jua,0
rao,rao,0
yaka,,0
bororo,,0
vili,vif,0
